tot_income,tot_expenditure,education_expenditure
59084,27917,220
101948,33844,345
252390,63295,0
67780,38485,900
188828,68800,0
122546,28017,0
39441,19441,0
912000,132906,0
195250,99963,550
155984,86024,2960
109545,54289,0
218849,77531,0
829622,343155,0
204877,74777,23800
75630,42347,150
315609,127908,25333
143978,51792,0
447648,227363,8730
120390,90204,5200
189451,64739,0
161316,69681,0
67069,23204,0
76675,30200,666
154729,82459,760
78565,39141,3565
179346,108652,580
225690,89679,568
186542,115664,15675
94851,54770,600
473316,90120,12047
756666,109228,0
212922,89500,350
253942,143158,1670
215070,78726,42950
159950,62238,2100
196540,78340,0
415342,125998,27500
262716,67250,0
105019,47947,150
181390,80703,1100
226112,73855,803
982436,136271,0
227397,57204,0
971905,221486,45040
121866,68953,2450
252374,80038,0
326250,61403,0
381148,118226,2040
80863,55840,800
17649,10411,0
27860,11688,0
515601,120226,0
76710,20399,0
253686,69920,0
151166,73541,800
102056,43847,140
109990,35809,0
65308,23852,0
114730,58822,13375
117738,57356,3430
103880,57139,1850
66673,30318,0
140596,53107,950
859536,138670,8000
158544,57426,1090
68045,13903,0
65487,33302,0
117277,47145,150
95021,40263,2400
202513,92739,2400
129752,62154,530
50725,36261,0
120647,55727,0
205595,118172,7500
195296,100296,1370
111464,41462,0
170400,70293,0
92765,58211,1586
118010,59332,1185
163215,52488,150
94238,36261,0
398276,145386,530
134110,67030,1035
77610,61281,3480
235800,102126,30600
369726,120063,20621
464186,83351,40340
188362,72485,30660
213020,82296,25160
164887,40588,0
111296,71321,325
253865,62266,1118
210777,134233,6835
171108,65729,7260
141755,63901,355
538372,234070,0
944192,163415,3240
184728,55982,0
233838,49894,400
271516,132587,0
265600,171220,49180
34297,32029,0
219104,40566,0
943608,97621,0
83358,26474,0
88300,58965,0
155892,84857,440
217250,114228,430
197683,99421,15050
169410,108508,400
183066,97867,2270
75210,44682,2650
323656,113196,960
468000,116246,0
85572,49393,3424
36176,17538,0
150320,68891,0
80885,60602,1200
135100,15952,0
199869,78562,0
210390,91686,800
205557,115316,8135
230427,88979,16030
134050,36003,0
135134,50502,0
122322,87448,1280
248880,95993,0
100392,56431,650
220116,104404,4020
301667,85142,0
149894,62919,7605
411667,88960,4450
153598,49745,0
83116,31811,0
203526,140968,15315
464732,115737,12520
110873,64025,975
75919,42274,300
248000,74502,1170
270515,101644,4450
128054,79270,756
311160,99308,0
316074,149771,10900
343520,142199,4125
264300,95576,46000
542128,117643,0
241544,69072,0
252915,110027,350
203614,97899,1730
209750,63910,25648
827236,236648,1400
346360,110338,9000
73141,53042,0
96625,53893,300
105678,38173,90
98590,41392,250
140966,70808,2780
32575,20057,0
321970,144453,1200
200430,75494,36398
77970,63290,1056
172170,66817,0
37922,33053,0
140857,99804,13000
221526,83444,8075
129226,38736,0
124790,35675,0
168446,89792,2250
184570,86851,60
216450,93089,750
69102,35917,0
207060,85770,0
91190,55034,5376
150190,88635,100
384645,143650,12815
474943,41821,92000
385580,141989,0
259978,50520,0
148617,92998,15574
89888,57291,200
64269,68448,0
267588,82631,796
118529,67247,1950
99220,60907,2860
430842,143897,18500
181451,157223,1300
80932,56472,9575
130051,67325,1800
119919,78925,1127
281191,99615,6315
258776,195079,26150
158310,38626,0
80985,77003,0
151700,56394,42165
479898,123688,17600
67918,42427,980
246540,109397,260
241476,91961,1348
150782,80875,8900
91090,43965,1640
68455,55273,200
75563,55142,770
377562,79962,1575
62445,45255,350
637812,64277,1500
77797,39004,0
56812,20509,0
52957,33900,400
97347,46877,0
192705,71035,9090
140776,65835,2600
167359,51072,0
276911,139401,2475
81267,50880,950
278255,93325,15125
104928,75080,1607
366550,81044,1140
168177,127594,170
211308,67143,956
103048,79029,0
120090,84796,650
416609,101182,2160
113092,84477,595
105368,35384,660
307290,84846,1750
464549,162346,46350
568388,164809,0
160104,67043,0
101606,70931,1100
210250,47107,0
98688,48627,0
128570,39933,370
67485,61992,430
149525,95552,32610
379326,95379,0
440378,122624,6200
91615,63381,16000
94250,51935,770
318355,95913,0
38407,25406,740
297230,153211,420
37902,25690,0
179545,100434,6435
103322,38080,1577
133390,74821,2900
179497,65177,1374
94071,40489,530
171280,66143,0
109096,66082,670
81790,35580,2415
282453,51789,35000
482660,142190,0
212025,82591,47780
80845,40276,62
206000,69931,0
137071,86235,2310
117316,34219,0
164268,124253,450
67895,39457,0
154160,81446,0
138946,90570,0
460314,113499,26320
168559,94486,90
444240,76349,15980
236494,62879,2150
110450,58367,950
119089,67640,880
165784,77356,0
112902,42361,1609
320200,120682,1520
166965,52283,0
87957,42507,8280
108057,91332,2450
242623,58753,550
98497,61370,11885
59748,39055,0
257332,90804,1300
395010,140180,0
71825,42705,560
156278,60185,450
100285,44540,0
91238,49673,0
468364,226491,0
317263,70543,0
227105,126135,2900
172708,115036,0
115805,15751,0
427600,144875,97995
180772,49598,4800
259770,81617,13640
158260,51778,0
352549,127801,1690
57956,24332,4700
119809,81826,11210
345798,116850,60000
165838,118479,1010
171200,89920,37480
173712,70457,780
102591,79733,3672
209140,94523,1420
166575,45480,0
163490,81882,1100
101090,50314,0
327400,124467,320
198572,61397,0
82806,50195,0
64656,46345,0
183978,73319,650
130696,80128,1035
200502,68107,320
215706,144506,9040
75610,48663,1240
177615,110630,1750
62945,37079,2100
115739,45506,560
194456,54590,335
298675,99922,69400
163941,83971,1370
106905,72505,250
212243,106771,4280
62994,29685,0
213610,42126,0
626224,290490,1120
96552,98289,1420
116591,48581,0
112786,53904,1148
180196,73343,32270
92180,23740,0
322098,108466,11350
150237,36252,0
107950,39960,0
761716,213647,30300
128506,48515,0
120266,95729,1820
133467,73166,880
221847,90193,20
311790,83474,0
79562,50624,490
188936,39950,0
106036,66500,30
243732,61830,76230
130880,70030,420
305908,97857,8300
79508,37024,400
545078,171184,7050
93160,67909,0
328962,96874,2030
141656,61802,21300
137885,57476,0
691187,103999,25930
678333,159744,32000
137049,68871,21130
165245,50168,0
169727,72992,330
117830,63474,630
150852,93441,595
192886,47267,0
268929,79696,740
619894,182425,2290
125569,65837,610
130333,63179,400
97476,61993,1380
715050,202524,0
131115,34581,0
206501,55270,0
131830,40666,0
89413,46379,1300
163205,22156,0
70509,48569,750
372800,148554,0
307100,100012,17500
104599,58876,5695
43777,17137,0
118540,74150,11310
132456,97549,1895
148440,116147,3120
84183,47117,1059
235061,85507,0
105895,58287,0
136770,46380,12000
315259,102850,48000
191859,72961,51800
279856,116182,1725
139743,66453,1920
67558,32543,0
74774,37916,500
80490,23762,0
254934,102692,0
119065,47797,0
1065000,200589,164000
234431,70076,19180
138542,73875,1750
118164,85831,11482
44509,14036,0
150840,84321,450
292332,158969,2857
82924,32736,0
129658,48837,0
306382,91089,0
177141,79259,1760
716835,143081,43000
134125,56581,440
56926,27516,0
144990,38997,10150
166087,103196,560
1051940,164385,2691
119470,36267,0
172285,61944,22700
187319,83448,11500
176889,52848,0
401000,110613,20900
267645,219774,27490
133127,68382,0
152050,93589,600
358396,110777,3080
84020,66205,0
75561,53419,240
114812,54589,0
106875,58399,10510
95603,47917,750
124605,80015,3369
192488,115036,1210
108202,61104,1500
128030,51609,3100
286717,59190,0
239836,90669,300
900398,157989,38700
193909,100687,2825
99375,44334,795
54903,29948,125
415700,106191,22650
85788,114964,4740
202178,141180,0
1109106,162137,0
204335,131841,0
158803,98728,0
114992,60282,750
568967,153437,900
61289,34643,1049
174715,78262,1580
149860,49809,0
920650,179319,61479
272000,101384,0
270940,92574,21290
333494,132579,0
68724,47334,1682
358050,134282,0
124818,55362,650
46831,31927,1020
456220,191911,7900
439418,82825,70
179705,66058,0
160998,39122,0
123175,85482,15750
12039,9465,0
57484,25079,0
102484,61215,1660
60950,32729,720
78409,55399,100
108010,44217,1765
134382,68760,400
396078,149462,36900
488800,136061,22300
440460,114383,15990
103885,80449,2665
66795,35024,0
210731,52895,26300
87703,19686,6350
148650,50366,0
91886,42270,220
99770,55661,430
465410,102412,0
542682,154635,13300
137982,71695,12700
70183,25470,1574
417979,79653,6000
103199,41513,0
214515,89839,1700
212350,58678,0
145316,78394,0
232060,61880,10580
850288,204844,9250
104464,56116,320
276185,111941,0
158099,70874,2030
224582,143616,440
125495,38710,0
149995,53750,0
90216,25708,0
1081030,166113,88300
145481,55303,740
314650,91696,11850
131810,92531,8900
95879,48858,800
133500,88783,420
71254,44896,0
100305,61641,600
122713,72625,535
51993,31000,0
871644,356017,4700
99571,78797,35440
182730,81081,340
208242,97397,6720
144000,79908,1075
138143,30137,800
195569,87593,50
164070,82160,1200
752800,163429,27000
384600,185854,8380
108690,73219,1245
59952,32933,0
208024,92276,800
91105,33081,500
436373,171258,0
63782,40701,500
248787,62342,34840
300693,159635,1150
136820,55791,600
421692,171428,37200
84410,39395,0
105916,76364,1675
253940,81782,22100
116551,83954,100
67637,41334,350
591018,99635,58750
281299,130025,11810
270960,116759,0
151720,69425,610
283164,134875,2730
112035,49287,0
141035,71965,19796
238034,94837,1295
82620,52381,815
153360,72417,250
189280,65450,0
139968,105775,420
467420,131803,5080
1365550,101806,3580
155173,44945,0
96695,77461,5870
41052,15393,0
134616,54991,550
119620,77730,400
85962,58390,2875
145744,82492,1650
77521,53445,350
136200,78894,400
88320,45584,120
289720,129517,26750
252063,116317,1932
2028088,317836,0
280272,88120,942
234716,93275,1050
468258,239211,2270
110964,85171,1600
86514,17274,0
120340,56838,0
841065,134003,0
116078,61364,2770
145790,76976,450
1021582,234126,55260
60850,64956,0
104810,38368,0
112140,73067,745
68722,38824,0
126625,38019,0
227625,106876,700
105606,77155,970
504867,95171,8149
119600,78850,0
224260,62723,44
197900,94837,0
217530,77314,0
219942,103080,150
191482,44227,0
152996,73382,0
79040,55512,1800
376972,125995,17300
314000,100935,0
267630,123334,490
63365,38782,0
122364,58905,650
234629,78204,175
108370,82305,1100
160030,120742,3040
131798,67503,1435
200148,75830,1500
398868,134239,70000
31725,21363,0
448975,92356,1250
124595,55339,0
189531,35629,1250
608251,215105,99100
477694,122399,0
100385,68379,1530
279800,110121,0
34549,20800,0
718238,180371,11350
127545,58892,0
107205,54927,840
37781,7594,0
145583,71865,1240
97731,33312,1147
577503,93508,12685
98747,50997,970
61420,37191,0
164225,53743,1860
40100,25940,0
660880,153752,26230
65995,41706,1091
396476,122238,38700
93796,45284,14810
567915,163972,150
86509,62407,4400
133817,93037,1183
134384,64428,1000
119448,70664,0
250590,28239,0
329622,189217,40
391345,104446,0
575875,88025,68100
151190,78867,9138
106871,49741,6960
232009,78388,13340
214448,113389,300
76381,38075,0
150090,80099,630
197178,87302,750
137442,84857,1480
46385,29527,0
628050,177041,13200
243763,111374,15760
191985,125521,4300
100004,54876,623
200464,115198,3330
105400,40512,0
93317,65118,442
75490,61459,855
356672,116882,16200
281130,132042,300
75758,37177,255
191796,92487,2650
125076,50270,255
257332,115016,31900
80545,49995,2040
181380,84078,0
116348,61678,4260
189650,73771,780
84256,31898,0
82480,58452,0
61932,26356,0
34300,25749,0
122189,36032,0
685505,51592,0
120325,62957,1655
177528,82291,1867
211290,84272,2000
372732,107251,5680
38143,24699,50
277533,125472,30
192401,63637,0
139829,44014,7000
182270,48953,30890
123189,75314,24860
88860,47046,1200
129821,53908,1720
277630,113412,1499
683763,107964,33000
121719,65103,1180
616340,166455,0
160000,74904,650
266721,51913,0
219786,78215,600
160996,49400,135
196698,98362,3375
122019,57168,0
224329,116508,3780
171020,26104,0
454378,75331,0
234663,104324,1180
91643,39262,0
157892,67313,31180
71090,41784,0
53680,24050,0
158455,76433,4195
726096,184133,46700
59823,22725,0
52163,32815,1120
66352,51906,2002
58136,33861,0
386381,108290,1500
1128127,272177,25665
289456,75004,280
56200,34345,100
121697,76517,0
213288,84971,660
366557,82479,1095
98650,90927,0
266938,124687,9670
325011,142365,20300
241236,89176,540
796842,143264,64400
170860,110976,775
442741,288986,550
496020,118220,0
108370,95058,770
252480,113195,1660
161576,113472,0
539908,158109,600
144190,69615,12895
86102,40278,0
53549,38155,620
65560,45292,50
44775,29669,0
222800,113366,47540
92048,50916,0
107412,63266,700
1373715,100538,400
68399,26089,0
146226,59236,1000
219049,57691,0
232376,76947,0
875600,201516,0
107965,80297,0
645358,144629,62000
47907,30807,690
208694,73974,1410
123725,64846,1658
695798,140420,14400
267786,129418,0
222985,64570,12916
59235,46902,630
103638,56205,970
54350,43090,750
419430,175659,0
333435,71577,1800
295325,106315,0
203619,59076,0
155135,49816,480
179590,92336,11700
661851,276914,108051
61020,34024,850
317346,69764,0
146817,47471,915
298715,84543,16600
202180,77891,300
445088,130503,41750
1006378,220412,46000
731230,251493,52400
485060,107805,0
205576,79829,1590
424870,110390,31400
276320,63560,0
181744,47293,19340
356957,121500,8100
287560,220369,1640
441100,155411,5350
1138189,157116,55305
62673,63938,6800
40226,25060,300
95279,38357,459
180005,100386,1140
129694,73941,1665
67227,26834,0
192178,109067,550
102854,45532,0
508009,105775,10750
144975,49606,0
754745,101657,0
315535,89500,74000
253305,60241,20340
252084,110382,29630
196799,86714,3460
261080,123575,5348
238268,129815,686
192236,87817,355
308073,145104,100
107314,44191,0
524700,130476,52000
42118,20165,0
158120,77573,13525
82120,32020,2900
129658,48957,970
411360,192463,3950
119786,43005,218
299562,86502,11200
103967,40199,4020
198646,103435,9170
170525,90162,21850
165617,61893,0
429314,127972,19000
113048,61945,1770
112181,57816,8500
64808,33836,0
76988,51858,50
223644,95543,1350
488654,135285,53860
164048,76340,1370
72995,45714,490
113647,64922,880
88959,82491,1560
146293,76626,3322
77822,25453,0
188943,65742,525
39201,26862,0
596410,145532,30200
113287,50227,240
97612,32986,0
222264,39526,0
26765,66174,300
92144,68488,2150
99698,48357,0
149656,68780,1730
156554,82495,6500
146783,89926,2020
157392,94111,660
82922,43243,780
209756,102710,11660
238660,72847,700
93046,76065,1250
156879,73817,1585
93300,38940,0
196004,77464,1500
330500,91201,17100
78572,66289,460
2409200,90039,0
381637,42960,700
488470,148034,42280
125571,81771,0
51878,33938,0
122406,57319,13245
123360,48511,25200
1202840,126964,33500
175575,81279,5800
42355,23845,1180
203720,67742,60460
94200,38293,0
92280,24096,0
77029,36154,33150
109793,62505,0
149260,94400,2440
80820,70304,1040
93120,59463,1009
223655,79291,1500
234880,97444,26700
114221,61478,1200
255831,126489,16310
212090,86823,500
265014,129697,100
217674,56406,0
920887,125155,21800
358954,71615,0
719798,139264,0
108382,58966,545
43296,21679,0
287307,148585,1580
403434,90667,24140
581438,164170,12700
287065,117692,13000
111748,55544,0
35830,31922,0
226264,117796,1100
100450,48487,0
88615,43453,920
181258,54478,450
128623,59440,2212
178984,79220,280
65949,40088,0
162125,42476,0
139010,83715,20900
209630,40167,0
603282,203251,33220
178220,72540,830
329661,106158,1510
149940,94641,1100
37682,22136,0
157838,52566,300
168152,96336,0
128269,89059,5070
326775,132954,3750
449016,226907,2930
107630,75207,255
171042,105949,1790
160614,67803,0
335563,105346,1950
133876,98832,0
350356,126979,500
318836,175269,540
139200,98922,10450
354460,86576,43080
127041,28524,26000
126892,74105,640
199480,92078,0
63062,34490,0
93542,30761,2750
314207,90332,0
223359,25515,995
220280,69101,0
122747,77500,0
725390,185819,15030
166560,51114,0
116810,73204,3505
254566,88980,25800
605619,142418,52000
363345,213696,1550
210455,97418,11480
62552,45630,1372
91982,42812,0
724052,172869,1280
385710,111264,1210
122836,38124,0
110975,60633,3190
143506,67557,4760
124926,49222,0
94310,67342,2030
322308,121532,1530
285074,102739,2100
79070,47855,0
303791,205244,8410
219100,105372,2010
133535,106307,115
11639365,280597,102500
235978,77495,1730
223440,101520,1450
243548,121377,15400
269030,70317,0
214414,54507,1575
179950,67510,260
135512,66066,300
123010,68995,12250
127710,72691,1810
217515,64195,1500
70792,56480,60
149427,99285,5790
395397,56194,0
203123,115056,849
257600,134709,6000
94641,45005,0
66287,40421,150
141033,34573,400
159562,88521,19300
216961,67116,2000
161616,63135,1400
298644,82250,0
106910,50416,800
117166,84565,325
124360,74595,1020
63871,34522,840
389025,50391,32650
42115,18608,0
179587,102195,10810
251747,105418,1259
64026,36188,3250
288528,183329,0
96385,61177,1200
345849,88600,950
135641,76231,1300
246377,102366,15500
127594,81695,270
174512,65317,880
202080,78608,0
179528,112619,5380
187163,77666,24320
211703,124068,3650
417714,50233,0
106689,48586,0
184288,126347,380
310580,77934,1420
246752,82532,1139
294428,147552,0
96575,64478,900
75030,34662,500
121540,72645,3025
109820,50219,0
205834,59534,0
670190,136199,18100
390990,108902,6510
467969,92754,2655
121200,48147,0
94934,55315,2020
140220,59249,1200
117043,42236,0
575730,216677,5590
695928,124835,4400
313614,126219,1905
106819,97508,150
151632,93473,2120
217238,74242,29500
102906,65862,0
84896,57965,530
98965,59932,1670
258622,201272,1060
125863,61539,500
128680,63142,1360
226044,76945,0
113886,19399,0
92503,50487,1350
156658,89763,0
109015,64346,900
75382,55560,0
105280,49072,500
117811,41048,1725
275882,58869,0
440228,200137,27820
46625,28389,0
96370,54271,150
183408,60719,12370
166208,79308,2295
311095,48725,43824
208321,108064,28720
321062,98826,1000
103993,56585,10350
322160,71539,12000
121684,64010,1750
98309,58847,1500
641437,199368,41500
372618,159550,423
358961,77335,0
150978,39968,1072
288833,48156,0
85729,53314,300
188440,109052,0
168032,101684,38425
113247,51824,0
123955,58446,0
468000,163333,0
306258,86269,6900
578890,150068,97000
101240,60866,0
172947,68810,13014
384920,145279,34765
80111,49405,750
998280,240305,47600
114745,70027,340
338676,78459,120
96020,61225,1300
185175,104919,900
126048,46139,450
220232,36693,0
714164,119835,131508
710865,135139,14000
242700,89970,700
630770,117181,5379
136439,83567,60
289790,129330,22400
199810,101653,0
371270,70400,1245
670828,152398,6657
248241,202861,887
109661,42639,0
80392,55192,320
161048,51817,0
148560,69959,0
220842,131451,50
225300,54678,7325
732718,162330,1150
767267,237139,158100
188442,76309,800
185818,106554,1500
44814,43259,0
328335,94389,72650
159721,76906,0
117895,58429,0
48711,16756,0
47407,17837,0
324000,105873,40660
85408,37706,0
1123471,166267,1500
614430,134323,31200
87160,45121,0
475198,134013,510
200418,99652,1470
286448,102229,450
28225,15781,0
187545,79553,570
80285,39441,0
245272,122648,3600
109485,42920,22880
114668,52501,1260
90871,54625,2700
133640,33071,0
178435,105925,880
171177,64153,21920
234055,127088,4919
95290,53094,1300
128186,85654,4950
192635,70934,17140
256792,124123,1000
213350,77215,37550
162456,35453,0
122448,65226,600
264797,59268,0
138420,61157,2345
135037,78497,0
150842,34453,505
169134,80107,1260
126569,59837,500
104977,50180,0
52339,45541,2760
104736,54861,500
217279,87428,1660
173470,78726,1569
160114,81805,1500
234698,60619,10300
367295,103658,20900
185577,103936,1620
247224,89695,1150
203260,100697,0
538858,145499,16850
187387,100127,4181
220208,92415,2345
81627,36916,100
95080,61789,100
354756,124037,26500
393836,167121,2000
11285,14709,0
165885,62988,5200
535718,112570,113935
78300,25949,0
205253,51402,0
102866,40644,0
99808,68992,669
160906,75083,1970
154922,114367,885
86964,62023,0
242964,113962,1290
84925,58400,100
99898,47479,290
57955,26722,0
103239,56613,2165
826662,173694,14800
84000,46326,3800
362857,86132,0
194432,86071,0
37814,22444,0
319782,82743,526
1405774,321531,0
155696,79265,675
312692,97520,10950
67670,51161,0
102104,49759,680
124605,58587,295
114015,27918,0
429200,168760,1200
62437,41848,0
241930,85939,2350
255196,70213,719
414820,68645,0
64206,22466,0
322074,102858,0
103116,74171,420
77300,47779,320
318048,124083,150
322384,147728,1380
123119,63762,693
296804,118740,633
335308,90324,3970
146061,105042,600
423690,96549,22000
283995,82385,650
73883,42602,1150
471823,104556,0
117331,60110,1920
163963,95055,0
120537,74656,1560
142489,50960,615
100717,31003,0
189550,43554,0
465692,108284,30000
270918,93307,1933
94356,38320,900
142945,72191,2528
83179,45965,0
89662,68803,0
213652,67013,0
104800,63223,0
85172,19669,0
605059,98098,7860
1228580,156533,0
62629,32328,378
451400,103135,0
187082,84002,8610
643185,123918,29280
65285,38314,1265
88964,49107,3330
554752,173618,9840
56257,19341,0
83381,57435,50
103807,51439,580
642838,144184,270000
106450,59584,0
183188,107276,13250
1689027,74504,19765
152850,57809,850
252257,133643,22327
66624,43198,320
79800,32042,1240
109870,46662,0
215887,93393,1105
518000,186904,32300
271558,136751,8939
121114,53587,3000
217562,87360,3290
283786,97856,0
416595,56722,0
272256,91044,300
221671,124464,2250
276628,129967,1670
223010,139920,5460
209299,88512,14374
984100,152514,0
238110,100322,1150
229712,90493,1000
429280,78747,100
403200,82119,0
152884,65721,0
255931,71271,11250
343392,164447,6500
82488,52413,0
732605,110433,24200
263802,86242,30400
133010,80605,1770
166206,97254,50
184146,62888,1590
172676,82403,27650
72161,54795,1140
192016,124291,840
67172,49992,770
214322,48041,0
129972,48306,1066
141803,92494,8150
106770,61012,1553
43255,24863,0
113796,35822,300
114035,54503,1680
241799,104312,0
174322,75328,9197
218958,29549,0
264942,89206,1070
102214,63081,700
130908,70530,1100
499196,128051,9500
877048,96847,0
762510,144231,17690
379777,193404,9750
102822,32534,380
245410,43680,0
398902,104273,52770
78900,39387,250
115508,42241,1085
421884,186674,0
198267,94289,0
338040,40706,0
130673,43359,1250
73718,36109,100
233815,150940,2330
124888,110659,3838
135152,61041,0
565921,105640,35890
290547,76360,3540
258063,129474,37620
169830,89656,0
151430,70137,0
527818,198077,0
256958,83917,0
96215,78173,5200
72510,42893,3250
82092,53306,420
253895,103513,12925
177564,53435,0
126502,64505,165
107320,60413,0
381563,133077,17420
341758,165988,2300
407553,105054,60200
110023,117390,1335
304940,124709,2350
111195,62264,1871
190070,57125,0
160812,76135,0
99140,38697,0
520392,194798,3650
405998,77654,0
69310,35350,1130
423657,107357,0
81586,55521,770
477602,78814,36000
407455,101325,1860
155180,54051,300
48742,158244,0
296446,103404,0
467160,161416,55380
81340,76979,900
357911,60659,0
357289,108244,39000
217080,132171,0
486935,117003,0
143707,73726,25800
150096,59092,0
143020,87987,1200
292526,100446,9330
275587,113615,0
119986,37404,1050
97998,56319,2070
228295,90554,20
338433,81336,0
153257,64901,0
147698,81329,0
470057,152181,68500
271411,47141,0
61808,46605,425
395648,63216,0
289232,130520,870
57779,29699,0
125665,65093,0
32375,27505,0
207242,93039,19160
215107,106102,1450
698236,229488,360
120997,54500,1080
197319,77190,27630
122850,71556,2440
81664,31843,400
22960,12853,0
89503,44900,300
297180,84404,200
88086,51405,2180
268046,95145,53000
1225986,429787,36641
541410,172605,22580
107489,58206,0
57490,28389,0
647358,223694,5430
149551,63453,500
141272,78057,2360
89292,51835,200
703032,181113,89000
93354,66477,0
511470,93739,1500
184113,117584,800
60059,23967,2100
145529,73463,818
994622,144291,0
479830,121392,8459
466933,182493,33950
137678,70715,0
337302,155379,103
1064600,305361,67300
113300,73569,2250
271900,101416,2300
38075,21443,0
217293,41048,0
219474,139358,818
88889,36242,300
196167,94690,1243
379480,74363,0
288991,123610,0
211705,56964,0
55562,33354,0
55370,38075,1275
106632,63801,6050
76608,35162,670
198580,47235,0
452580,166431,99300
987839,192786,42000
146400,88098,1800
281596,92160,600
134971,76458,0
98167,52101,0
134472,50902,0
194480,136867,375
71480,32443,0
190877,102241,1223
339236,118633,9550
252164,94314,0
196986,39941,2450
35061,17471,0
104416,57389,1950
99831,60225,285
24485,22149,0
248339,101627,11300
323996,103919,6850
118620,43142,0
85830,67407,760
111840,53511,18850
2908383,226616,29210
101404,41069,40
60497,34598,730
134024,91508,0
332145,91435,14000
278470,123718,5240
260200,105205,0
75940,39894,800
171835,96830,820
142938,43824,23650
821400,128095,1340
537464,129939,0
229928,119069,8085
108716,55530,200
329565,83408,11680
604051,249055,53520
205509,100128,950
525229,151042,11000
133450,50885,8000
251202,64895,750
64330,47770,0
92196,57885,1165
719760,202206,0
145082,94372,1490
77438,45676,831
127859,68910,2000
126576,83967,2546
340050,186670,12450
400931,68420,62000
256386,116040,2805
197830,52598,12160
365403,70219,0
90576,44882,1700
231580,73314,10550
598403,127658,2587
197160,107053,970
149736,53468,0
132914,57329,5530
138443,64039,1845
209700,97065,16270
133970,59248,6060
122629,58181,0
90570,40823,670
178096,106213,0
503897,54659,15250
113752,46251,0
227300,87826,20300
86766,28867,0
215502,82438,1500
95965,49268,1300
327272,119661,1700
427342,129832,1300
230996,52517,0
93710,41224,11200
94070,53092,440
177315,63871,0
54083,32143,800
91350,71531,1210
228080,90000,400
219328,64076,2170
267510,37025,0
61639,36868,150
114148,61938,540
165469,56723,700
114252,36680,0
131790,73084,1880
103488,54654,515
109258,59268,650
232552,89002,4980
199264,54127,27503
267670,88706,0
937380,194365,1760
63057,31828,0
266440,68418,0
312510,58290,1100
120538,63910,6100
65940,37837,0
158509,89248,1180
127478,64564,795
1011879,143756,0
89378,31656,0
330558,112828,0
744080,73590,0
143640,95777,1600
348730,101833,100
158106,85912,250
199730,38194,0
98300,51765,2820
1442580,180175,0
384800,88183,12442
90370,45701,0
179914,118968,6190
1108156,178077,5800
53385,29849,0
405900,98960,2130
100555,55279,3668
86891,44188,0
147232,76227,200
177269,71025,24500
42625,27736,0
457000,100575,17350
472610,90666,0
69978,28860,0
61748,41137,331
73330,51590,3961
130263,82664,6452
43143,22614,0
397354,163448,10550
123830,59395,960
92316,70178,620
387179,172681,1370
308370,194032,20000
199504,55261,0
32596,24134,0
601479,115077,1300
145049,100190,0
281694,129540,800
104169,60657,200
504431,83066,0
142840,39801,0
148521,94355,3160
121443,43921,0
130159,65898,460
207141,95266,32837
323520,131120,5820
68600,48540,950
196830,63582,10500
22834,12621,0
262655,142118,1815
267895,68066,21685
80337,49643,0
441403,79962,3590
113030,69919,1117
85855,44544,350
186558,119655,800
263025,109100,720
256345,137859,0
104175,64179,1600
120477,37959,0
115635,52865,0
193010,63964,0
82471,42533,75
152559,57086,9930
178654,54578,0
384150,155433,0
102947,76378,1407
151091,73516,10995
436661,129751,8400
110185,73711,0
132500,56724,270
637858,178064,68250
128827,83708,1275
176904,82974,1140
109495,61847,1800
398092,93897,1135
152707,97174,1200
174384,50899,0
175900,76950,200
142591,70822,12300
482606,48640,76933
63595,49137,400
252910,108679,740
430983,68529,13950
280688,74627,0
100823,66863,14100
149758,94243,840
124466,47987,1100
98710,44876,1670
308070,63289,6000
266520,139236,11320
47686,24556,0
1198252,195555,82700
208820,58206,25090
77570,47572,250
146800,62574,2030
360693,128842,44155
192035,37816,0
86790,56909,0
1386450,152196,17500
43769,21743,0
465124,93387,0
244774,97523,3300
46396,22220,0
774838,103995,1100
151000,53163,0
82710,59604,268
784413,180022,1099
98610,83770,300
123591,74417,350
162609,106492,5660
165833,88538,1945
450028,88439,43400
219272,129761,9450
181355,68017,0
152016,52451,10300
447084,163770,116350
348815,44993,0
477655,170745,56645
949706,373759,4800
41385,16233,0
58787,55983,380
229690,103611,2350
120041,52497,0
67820,52700,500
151380,70653,1300
927373,125197,30800
183498,68328,0
163890,85527,770
204340,66080,3800
209922,72811,500
239037,139574,2728
94410,48356,900
247547,45803,0
127421,53032,0
112340,61835,0
218956,120599,1600
124825,36834,0
73838,63946,450
214120,85679,0
333518,38827,0
69962,24662,0
349386,93081,1400
162350,86310,20850
31519,18154,0
224000,51996,0
99942,74142,8995
725655,312099,33700
461050,131081,0
317284,81604,36040
254860,125355,0
794824,125256,0
280956,88808,7750
211700,119881,1670
494153,163613,12350
2350000,249642,75000
63185,33819,1266
244933,94209,0
178500,48179,0
98743,35862,1750
119768,46562,580
152683,86162,600
75185,51843,0
242582,49962,1700
165240,89348,2220
435316,117826,1650
122282,66614,270
212023,73141,0
31621,19022,0
84758,57812,800
329410,95263,930
164938,102894,460
77759,47136,1050
157400,42400,0
82184,42962,1390
292074,81530,540
67064,24189,0
167185,81996,2660
580517,173514,43500
57365,29154,0
328808,157089,240
130095,40847,50000
115871,56111,465
67972,48610,350
