Date,mean_max_temp,mean_min_temp,mean_temp,total_rain_mm,total_snow_cm,total_precipitate_mm
1990-04-01,18.1,4.3,11.2,15.1,0,15.1
1990-05-01,19.7,7.8,13.8,55.7,0,55.7
1990-06-01,23.6,11.1,17.4,57.2,0,57.2
1990-07-01,29.3,14.5,21.9,68.9,0,68.9
1990-08-01,28.6,14.1,21.4,47,0,47
1990-09-01,25.5,8.7,17.1,0,0,0
1990-10-01,13.4,2.8,8.1,7.4,0,7.4
1990-11-01,6.6,-2.6,2,6.9,17.1,16.5
1990-12-01,-3.2,-10,-6.6,10.8,40.8,43
1991-01-01,-5,-12.7,-8.9,4,25.4,24.9
1991-02-01,9.2,0.1,4.7,10.2,0,10.2
1991-03-01,9.3,-2.5,3.4,2.8,11.1,11.9
1991-04-01,18.1,3.3,10.7,2.6,0,2.6
1991-05-01,21.3,8.3,14.8,36.5,0,36.5
1991-06-01,23,10.6,16.8,48.2,0,48.2
1991-07-01,28.5,14,21.3,22.3,0,22.3
1991-08-01,27.6,14.7,21.2,37.2,0,37.2
1991-09-01,23.3,9.2,16.3,5.8,0,5.8
1991-10-01,13.2,0.6,6.9,12.3,2.2,14.5
1991-11-01,5.9,-0.8,2.6,11.7,13.5,26.6
1991-12-01,3.7,-3,0.4,2.6,3.2,5.8
1992-01-01,4.9,-0.5,2.2,5.8,8.6,14.4
1992-02-01,7,0.1,3.6,5.2,2.6,8.6
1992-03-01,14.6,0.3,7.5,17.8,0,17.8
1992-04-01,17.3,4.4,10.9,12.1,0,12.1
1992-05-01,22.4,8.2,15.3,22.4,0,22.4
1992-06-01,28.1,14.2,21.2,47.9,0,47.9
1992-07-01,27.9,14.5,21.2,46,0,46
1992-08-01,28.9,12.8,20.9,5.6,0,5.6
1992-09-01,19.2,7.2,13.2,49.2,0,49.2
1992-10-01,13.8,4.5,9.2,15.1,0.4,15.5
1992-11-01,5.3,-0.5,2.4,59.2,2.1,61.3
1992-12-01,-3.8,-10.9,-7.4,0,55.5,39.3
1993-01-01,-7.4,-15.7,-11.6,3.9,29.2,26.2
1993-02-01,0.4,-7.5,-3.5,0,2.6,2.1
1993-03-01,10.3,-1.3,4.5,0.3,0.6,0.9
1993-04-01,15.6,2.4,9,9.8,0,9.8
1993-05-01,25.5,9.9,17.7,22,0,22
1993-06-01,23.6,11.8,17.8,46.6,0,46.6
1993-07-01,24.1,13,18.6,57.9,0,57.9
1993-08-01,25.9,12.5,19.2,14.6,0,14.6
1993-09-01,24.1,8.2,16.2,9.9,0,9.9
1993-10-01,13.7,3.5,8.6,13.2,0,13.2
1993-11-01,3.2,-4.6,-0.7,5,5,9.6
1993-12-01,2.9,-2.1,0.4,21.8,12,32.1
1994-01-01,3.4,-1.2,1.1,11.8,1.8,13.6
1994-02-01,1,-6.1,-2.6,3.6,22.1,22.8
1994-03-01,13.7,-0.2,6.8,7,0.2,7.2
1994-04-01,17.3,5.5,11.5,33.4,1.8,35.2
1994-05-01,22.3,8.6,15.5,20,0,20
1994-06-01,24.7,10.8,17.8,31.1,0,31.1
1994-07-01,31.2,15.7,23.5,9,0,9
1994-08-01,28,13.5,20.7,57.7,0,57.7
1994-09-01,24.6,10.8,17.7,12.8,0,12.8
1994-10-01,13.3,3.2,8.3,42.2,0,42.2
1994-11-01,4,-2.6,0.7,15.9,14,27.2
1994-12-01,2,-4.5,-1.3,11.5,3.9,14.6
1995-01-01,-0.4,-4.2,-2.3,16.3,15.2,30.1
1995-02-01,6.1,-2.6,1.7,11,0.2,11.2
1995-03-01,10.8,-1.5,4.6,15.6,1.8,17.4
1995-04-01,15.6,2.6,9.2,13,0,13
1995-05-01,23.1,8,15.6,6.3,0,6.3
1995-06-01,26,12.7,19.4,52.8,0,52.8
1995-07-01,27.7,15.4,21.6,24.8,0,24.8
1995-08-01,23.8,11.3,17.6,74.2,0,74.2
1995-09-01,25.2,9.5,17.4,20.8,0,20.8
1995-10-01,12.7,3.9,8.3,24,0,24
1995-11-01,5.6,-1.2,2.2,30.9,26.4,55.1
1995-12-01,0.6,-4.7,-2.1,4.8,42,45.9
1996-01-01,-4.1,-10.9,-7.5,0.8,22.2,18.8
1996-02-01,2.2,-6.3,-2.1,14.5,3,16.3
1996-03-01,8.5,-2.4,3,4.9,6.2,9.1
1996-04-01,16.4,4.1,10.3,7.1,0,7.1
1996-05-01,17.2,6.7,12,52.6,0,52.6
1996-06-01,23.1,10.9,17,36,0,36
1996-07-01,30.1,14,22.1,15.4,0,15.4
1996-08-01,28.5,13.2,20.9,10,0,10
1996-09-01,19.6,8.7,14.2,66,0,66
1996-10-01,11.7,3.5,7.6,36.9,,36.9
1996-11-01,1.2,-5.2,-1.9,16.4,59.8,68.4
1996-12-01,-4.5,-10.8,-7.7,7.6,52.6,51.2
1997-01-01,0.4,-5.7,-2.7,10.4,10.2,20.6
1997-02-01,2.7,-3.8,-0.5,6.6,12.2,17.2
1997-03-01,8.8,-0.9,4,1,19.8,18.6
1997-04-01,15.2,2,8.6,28.4,0,28.4
1997-05-01,21.4,8.9,15.2,44,0,44
1997-06-01,23.3,11,17.2,47.6,0,47.6
1997-07-01,26.3,13.4,19.9,58,0,58
1997-08-01,28.4,14.2,21.4,15.7,0,15.7
1997-09-01,22.6,10.2,16.4,36.6,0,36.6
1997-10-01,12.8,4.7,8.8,26.1,0,26.1
1997-11-01,6,1,3.5,20.9,1.4,22.3
1997-12-01,3.5,-2.3,0.6,15.4,6.3,21.5
1998-01-01,0.1,-6.8,-3.5,9.1,15.8,25.3
1998-02-01,8,-0.1,4,3.4,7.6,11.4
1998-03-01,10.3,1.3,5.8,23.5,3.4,24.2
1998-04-01,17.5,3.2,10.4,6,0,6
1998-05-01,24.4,9.9,17.2,13.4,0,13.4
1998-06-01,25.5,12.9,19.2,34.4,0,34.4
1998-07-01,31.7,17.1,24.5,29.6,0,29.6
1998-08-01,30.6,14.5,22.6,15.2,0,15.2
1998-09-01,25.1,10.5,17.8,18.6,0,18.6
1998-10-01,12.8,4.5,8.7,36,0,36
1998-11-01,8.1,2.1,5.1,26.6,1.5,27.9
1998-12-01,1.7,-4.2,-1.3,2.6,21.2,22.4
1999-01-01,2.8,-3.2,-0.2,14,22.8,35.1
1999-02-01,7.8,-0.7,3.6,6.4,5.8,12
1999-03-01,10.1,0,5.1,7.3,8,15.3
1999-04-01,16.4,2.2,9.3,6.8,0.2,7
1999-05-01,19.4,6.2,12.8,8.4,0,8.4
1999-06-01,23,10.6,16.8,73.4,0,73.4
1999-07-01,25.9,12.4,19.2,49.4,0,49.4
1999-08-01,29.2,15.1,22.1,5.1,0,5.1
1999-09-01,22.5,7.4,15,12.7,0,12.7
1999-10-01,13.4,2.9,8.2,18.2,0,18.2
1999-11-01,8,1,4.5,12.3,0,12.3
1999-12-01,3.1,-2,0.5,8.8,12,19
2000-01-01,-0.9,-8.2,-4.6,0,30.2,26.5
2000-02-01,3.7,-4.1,-0.2,6.4,5.2,11.4
2000-03-01,11.4,0.2,5.8,20,0,20
2000-04-01,16.9,3.4,10.1,5.9,0.2,6.1
2000-05-01,19.5,6.4,13,34,0,34
2000-06-01,24.3,10.4,17.4,27.6,0,27.6
2000-07-01,27.1,13.3,20.3,34,0,34
2000-08-01,27.1,12.4,19.8,25.3,0,25.3
2000-09-01,21.1,8.3,14.7,29.8,0,29.8
2000-10-01,13.6,3.8,8.7,23.6,0,23.6
2000-11-01,4.5,-1.1,1.7,7.8,1.9,9.3
2000-12-01,-1,-6.8,-3.9,9.1,24.8,29.1
2001-01-01,2.2,-3.1,-0.5,0.4,16.5,15.8
2001-02-01,2.3,-5.9,-1.8,0,8.8,8.6
2001-03-01,10.8,-0.6,5.2,14.4,1.8,16.2
2001-04-01,15.7,3.2,9.4,5,0,5
2001-05-01,21.5,7.3,14.4,8,0,8
2001-06-01,23,10.2,16.6,49.6,0,49.6
2001-07-01,27.3,13.5,20.4,73.2,0,73.2
2001-08-01,28.3,13.7,21,0.6,0,0.6
2001-09-01,23.9,9.7,16.8,7.4,0,7.4
2001-10-01,12.7,1.6,7.2,21.7,0,21.7
2001-11-01,9.1,1.5,5.3,7,6.8,12.6
2001-12-01,1.4,-3.8,-1.2,4.2,33.2,34.8
2002-01-01,0.7,-5.7,-2.5,0.6,21.8,18.5
2002-02-01,4.8,-3.6,0.6,0.4,11.6,11.1
2002-03-01,6.3,-5.2,0.6,11.4,9.4,19.2
2002-04-01,15.8,2.9,9.4,6.4,0.6,7
2002-05-01,18.9,6.6,12.8,46.5,0.2,46.7
2002-06-01,26.9,11.4,19.2,21.2,0,21.2
2002-07-01,29.2,14.7,22,17.6,0,17.6
2002-08-01,28.1,12.5,20.3,13.2,0,13.2
2002-09-01,22.4,8.3,15.3,13,0,13
2002-10-01,13.2,0.4,6.8,5.5,0.6,6.1
2002-11-01,6.7,-0.4,3.2,9.4,0,9.4
2002-12-01,3.5,-1.7,0.9,26.5,14.5,38.4
2003-01-01,2.9,-2.1,0.4,6.4,12.8,18.8
2003-02-01,5.2,-4.3,0.5,1.7,1.2,3
2003-03-01,10.5,-0.7,4.9,11.7,7.8,19.3
2003-04-01,15.9,4.5,10.2,43.4,0,43.4
2003-05-01,19.9,7.6,13.8,26.5,0,26.5
2003-06-01,27.4,11.9,19.7,38.5,0,38.5
2003-07-01,32.1,14.5,23.3,1.8,0,1.8
2003-08-01,30.8,13.8,22.4,1.6,0,1.6
2003-09-01,24.3,9,16.6,16,0,16
2003-10-01,17,5.2,11.1,15.1,0,15.1
2003-11-01,2.2,-5.4,-1.6,11.3,14.7,26
2003-12-01,2.5,-3.9,-0.7,0.6,4.2,3.9
2004-01-01,-1.5,-7,-4.3,0.7,34.3,32.4
2004-02-01,4,-3.8,0.1,8,6,13.4
2004-03-01,13.3,1.2,7.3,5.4,6,11.2
2004-04-01,20,4.1,12.1,11.5,0,11.5
2004-05-01,21.4,8.5,14.9,52.1,0,52.1
2004-06-01,28.7,12.9,20.8,23.4,0,23.4
2004-07-01,31,15.6,23.4,39.6,0,39.6
2004-08-01,29.2,15.2,22.2,55.5,0,55.5
2004-09-01,19.9,8.8,14.4,38.9,0,38.9
2004-10-01,14,3.3,8.7,27.8,3,30.8
2004-11-01,6.2,0.3,3.3,27.1,12.2,39.1
2004-12-01,2.6,-2.3,0.2,15.4,16.6,31
2005-01-01,-2.7,-8.5,-5.6,4.4,28.9,24.1
2005-02-01,6.2,-4,1.1,13.8,3.4,17
2005-03-01,12.5,1,6.8,11,6.2,16.6
2005-04-01,18.6,3.1,10.9,0.2,0,0.2
2005-05-01,24.2,8.8,16.5,19.7,0,19.7
2005-06-01,22.9,11.5,17.2,86.2,0,86.2
2005-07-01,28.2,14.3,21.3,4.6,0,4.6
2005-08-01,29.7,13.6,21.7,13.9,0,13.9
2005-09-01,21.3,8.2,14.8,31.5,0,31.5
2005-10-01,14,5.5,9.8,48.1,0,48.1
2005-11-01,5.5,0.1,2.8,12.6,23.2,32.2
2005-12-01,0.2,-5.5,-2.7,7.4,5.4,12.4
2006-01-01,5.1,-1,2.1,10.3,19.6,28
2006-02-01,4.4,-4.5,0,1,3.8,4.4
2006-03-01,10.3,-0.6,4.9,10.8,4.4,15.2
2006-04-01,17.8,3.6,10.7,5.2,0,5.2
2006-05-01,21.8,7.1,14.5,30.6,0,30.6
2006-06-01,26.9,12.5,19.7,25.4,0,25.4
2006-07-01,31.6,15.8,23.7,17.8,0,17.8
2006-08-01,29.9,12.8,21.4,8.9,0,8.9
2006-09-01,23.4,9.3,16.4,45.7,0,45.7
2006-10-01,14.4,3,8.7,10.1,0,10.1
2006-11-01,5,-2.4,1.3,25.6,23,45.4
2006-12-01,2.5,-4.1,-0.8,1.8,33.7,31.8
2007-01-01,0.4,-7.3,-3.4,2.4,19.8,19
2007-02-01,4.2,-2.3,1,13.3,1.4,14.7
2007-03-01,11.6,1.3,6.4,13.7,2.4,16.1
2007-04-01,16,2.7,9.4,2.8,1,3.6
2007-05-01,23.5,7.7,15.6,1.6,0,1.6
2007-06-01,24.2,11.4,17.9,37.4,0,37.4
2007-07-01,31.3,15.4,23.3,27.9,0,27.9
2007-08-01,27.9,12.4,20.2,20.4,0,20.4
2007-09-01,21,8.3,14.7,23.3,0,23.3
2007-10-01,13.5,3.6,8.6,21.1,0,21.1
2007-11-01,5.9,-2,1.9,6.9,8,13.1
2007-12-01,0.4,-6.7,-3.2,1.4,34.9,31.8
2008-01-01,-0.5,-7.7,-4.1,2.2,20.8,20.1
2008-02-01,4.5,-5.1,-0.3,5.4,7.8,11.6
2008-03-01,10.2,-1.2,4.5,7.8,0.4,8.2
2008-04-01,13.7,0.8,7.3,3.1,0,3.1
2008-05-01,22.2,9,15.6,22.9,0,22.9
2008-06-01,25.1,10.7,17.9,11.8,0,11.8
2008-07-01,29.8,14.5,22.1,13.8,0,13.8
2008-08-01,29,13.8,21.4,15,0,15
2008-09-01,23.3,7.9,15.6,5.4,0,5.4
2008-10-01,13.4,3.2,8.3,23.1,0,23.1
2008-11-01,,,,,,
2008-12-01,-4,-11,-7.5,4.4,38.2,35.2
2009-01-01,-2,-8.7,-5.4,1.8,14,14.4
2009-02-01,1,-7.2,-3.1,1.2,6.1,6.3
2009-03-01,7.3,-2.5,2.4,7.4,2.4,9.6
2009-04-01,16.6,2.5,9.6,10.8,0,10.8
2009-05-01,22.3,7.5,14.9,29,0,29
2009-06-01,27.3,11.9,19.6,6.1,0,6.1
2009-07-01,32.7,15.4,24.1,18.6,0,18.6
2009-08-01,30.5,14.9,22.7,1.7,0,1.7
2009-09-01,25.4,11.3,18.4,33.9,0,33.9
2009-10-01,12.2,2.3,7.3,36.8,0,36.8
2009-11-01,8.8,1.1,5,5.6,0,5.6
2009-12-01,-3.1,-9.4,-6.3,0,10.2,11.1
2010-01-01,4.3,-1.5,1.4,8.8,10,17.4
2010-02-01,7.3,0.1,3.7,11.4,0,11.4
2010-03-01,12.8,1.4,7.1,18.2,2.8,20.6
2010-04-01,16.6,3.7,10.2,13,0.8,13.8
2010-05-01,20,6.8,13.5,54.6,0,54.6
2010-06-01,24.1,11.5,17.8,36.3,0,36.3
2010-07-01,30.7,13.8,22.3,14.8,0,14.8
2010-08-01,28.1,13.2,20.7,15.4,0,15.4
2010-09-01,21.2,9.9,15.6,55,0,55
2010-10-01,16.1,4.5,10.3,5.8,0,5.8
2010-11-01,4.2,-3.8,0.2,11.8,12.1,21.3
2010-12-01,2,-3.5,-0.8,0.6,9.8,11.2
2011-01-01,-0.5,-6.3,-3.4,2.8,27.6,25
2011-02-01,0.8,-7.7,-3.5,2.7,12.2,16.5
2011-03-01,9.7,0,4.9,11.2,19.8,30
2011-04-01,14,1.9,8,11.6,0,11.6
2011-05-01,19.7,7,13.4,53.6,0,53.6
2011-06-01,23.8,11.6,17.7,21.5,0,21.5
2011-07-01,26.9,13.2,20.1,39.2,0,39.2
2011-08-01,29.6,13.5,21.6,0.2,0,0.2
2011-09-01,26.2,10.5,18.4,7.2,0,7.2
2011-10-01,14.3,4.2,9.3,13.4,0,13.4
2011-11-01,5.9,-2.8,1.6,8.8,4.4,11.7
2011-12-01,2.9,-4.8,-1,0.2,4.4,4.2
2012-01-01,1.4,-6.2,-2.4,0.6,17.4,14.8
2012-02-01,3.8,-3.3,0.3,10.1,17.5,25.5
2012-03-01,11,-0.1,5.5,3.5,2.8,6.3
2012-04-01,16.9,4.2,10.6,25.4,0,25.4
2012-05-01,21.2,7.2,14.2,8.3,0,8.3
2012-06-01,22.2,11.2,16.7,74.4,0,74.4
2012-07-01,30.3,14.9,22.6,49.2,0,49.2
2012-08-01,30.5,14.4,22.5,10,0,10
2012-09-01,25.2,8.5,16.8,7.8,0,7.8
2012-10-01,14.6,3.7,9.2,16.9,0,16.9
2012-11-01,7.1,0.8,4,11.4,9.6,20.7
2012-12-01,2.3,-3.4,-0.6,4.8,37.5,36.4
2013-01-01,-0.9,-6.6,-3.7,0,24.4,21.6
2013-02-01,6.1,-1.8,2.2,0.8,0.2,1
2013-03-01,12,0.2,6.2,13.1,4.9,18.7
2013-04-01,15.5,3.4,9.5,21.6,0.2,21.8
2013-05-01,22.5,8.3,15.4,49.4,0,49.4
2013-06-01,24.6,10.5,17.5,11,0,11
